,Title,Published_date,Views,Likes,Favourites,Comments,Month
0,The Harsh Reality of the Data Job Market,2023-08-24,44764,1305,0,156,Aug
1,7 Industries AI will Aggressively Disrupt,2023-08-14,3778,174,0,34,Aug
2,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3340,108,0,43,Aug
3,7 Enticing Jobs AI Will Create,2023-07-24,4026,181,0,35,Jul
4,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3708,134,0,31,Jul
5,Exciting Announcement!,2023-06-23,6379,285,0,50,Jun
6,AI: A Customer Service Revolution?,2023-05-26,3525,114,0,35,May
7,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,20110,734,0,54,May
8,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,27877,1211,0,72,May
9,This AI question will determine our future,2023-04-06,4141,259,0,37,Apr
10,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70199,812,0,77,Apr
11,Your current portfolio is actually hurting you #shorts,2023-03-30,5503,322,0,4,Mar
12,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,5671,312,0,3,Mar
13,you're job searching wrong. #shorts,2023-03-23,3667,225,0,3,Mar
14,The Economics of Data Roles #shorts,2023-03-21,6509,412,0,5,Mar
15,Why your phone knows everything you say #shorts,2023-03-18,2585,119,0,7,Mar
16,Read these for a successful career. #shorts,2023-03-16,2751,216,0,2,Mar
17,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2319,44,0,5,Mar
18,How I Realized I Was a Bad Manager #shorts,2023-03-07,2493,117,0,1,Mar
19,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,19402,737,0,52,Mar
20,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,6972,238,0,12,Mar
21,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2395,156,0,2,Feb
22,Learning On the companies dime #shorts,2023-02-24,2963,169,0,1,Feb
23,The Best Way to Transition to Data Science? #shorts,2023-02-21,3679,238,0,6,Feb
24,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6152,357,0,6,Feb
25,Don't Go into Data for the Money #shorts,2023-02-15,3619,214,0,12,Feb
26,First Data Science Project? Watch This.,2023-02-13,5632,319,0,22,Feb
27,How to Approach Applying for a Data Role #shorts,2023-02-08,3606,243,0,7,Feb
28,The Hard Reality of Data Science Work #shorts,2023-02-06,10674,667,0,10,Feb
29,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4313,179,0,6,Feb
30,These 3 Things Make Data Science Special #shorts,2023-02-01,4029,315,0,6,Feb
31,Will Data Science Be Automated? #shorts,2023-01-27,7821,359,0,8,Jan
32,Is Data Science A Good Fit For You? #shorts,2023-01-25,4845,280,0,11,Jan
33,5 Books I Wish I Read Earlier In My Career,2023-01-23,8942,508,0,50,Jan
34,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4295,447,0,10,Jan
35,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6179,469,0,10,Jan
36,How long does it take to become a Data Scientist? #shorts,2023-01-12,5529,444,0,6,Jan
37,Where & how to start your Data Science Journey #shorts,2023-01-09,6508,410,0,2,Jan
38,How I Would NOT Learn Data Science in 2023.,2023-01-03,119018,3956,0,246,Jan
39,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4775,198,0,28,Dec
40,The Essential Programming Concepts For Learning Data Science,2022-11-14,19946,832,0,46,Nov
41,The Data Content House: What You Missed,2022-10-07,10378,346,0,50,Oct
42,Is Data Science A Good Career?,2022-09-29,59027,1868,0,135,Sep
43,IRON ANALYST (Teaser) #shorts,2022-09-27,5604,362,0,24,Sep
44,When a New Data Scientist Joins The Team,2022-08-29,16286,745,0,133,Aug
45,State of Data Science - Web Data,2022-08-05,10408,359,0,34,Aug
46,Data Science Town Hall - State of Data Science,2022-08-04,9945,376,0,38,Aug
47,The Programming Roadmap For Data Science,2022-07-29,26819,1279,0,64,Jul
48,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,71689,2758,0,91,Jun
49,Can AI Fix my Baseball Swing?,2022-06-10,7513,340,0,68,Jun
50,Every Data Scientist... (funny!),2022-05-24,16406,848,0,146,May
51,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15967,430,0,65,May
52,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,56192,1468,0,87,Apr
53,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,20842,873,0,113,Mar
54,Data Scientists VS NFT Scam,2022-03-03,4610,189,0,51,Mar
55,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11088,510,0,144,Feb
56,What Professional Data Scientists ACTUALLY Do,2022-02-14,94392,3285,0,187,Feb
57,Can You Analyze My Data Better Than I Can?,2022-01-31,7259,323,0,62,Jan
58,Giving Back to My Most Engaged Subscribers!,2022-01-28,2324,119,0,89,Jan
59,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,28245,859,0,130,Jan
60,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8806,423,0,83,Jan
61,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8482,252,0,33,Jan
62,The Only Data Science Explanation You Need,2022-01-10,58851,2201,0,172,Jan
63,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14415,646,0,144,Jan
